POINT,COMMUNITY,SECTOR
POINT (-114.0118348 50.9912369),OGDEN,SOUTHEAST
POINT (-114.2315126 51.1571631),01K,NORTHWEST
POINT (-114.1987784 51.090333),BOWNESS,NORTHWEST
POINT (-114.0491836 50.9368986),LAKE BONAVISTA,SOUTH
POINT (-114.1923556 51.1040506),SILVER SPRINGS,NORTHWEST
POINT (-114.0633585 51.0345836),ERLTON,CENTRE
POINT (-114.1073776 50.9623775),PALLISER,SOUTH
POINT (-114.119739 50.9373757),WOODBINE,SOUTH
POINT (-113.9472 50.9283592),NEW BRIGHTON,SOUTHEAST
POINT (-114.0723571 51.1237561),HUNTINGTON HILLS,NORTH
POINT (-113.9544517 51.0760209),PINERIDGE,NORTHEAST
POINT (-114.08953 50.9484097),CANYON MEADOWS,SOUTH
POINT (-114.0085882 50.9962749),OGDEN,SOUTHEAST
POINT (-114.102984 51.057977),WEST HILLHURST,CENTRE
POINT (-114.0629633 50.9710322),ACADIA,SOUTH
POINT (-113.9763944 51.0387613),FOREST LAWN,EAST
