COMPLEX_NAME,FACILITY_TYPE,ADDRESS,TYP_OF_ORG,ORG,STEWARD,OPER,COMMUNITY,SECTOR,POPULATION,OCCUPIED_DWELLINGS,PERSONS_PER_UNIT,Area (km²),Population Density (people/km²)
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1596.0,770.0,2.07,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1687.0,782.0,2.16,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1714.0,804.0,2.13,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1671.0,779.0,2.15,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1685.0,784.0,2.15,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1527.0,720.0,2.12,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1830.0,788.0,2.32,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1651.0,778.0,2.12,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,2132.0,705.0,3.02,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1727.0,789.0,2.19,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1603.0,812.0,1.97,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1654.0,762.0,2.17,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1923.0,697.0,2.76,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1697.0,787.0,2.16,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1829.0,804.0,2.27,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1560.0,687.0,2.27,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1975.0,698.0,2.83,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1729.0,802.0,2.16,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1662.0,821.0,2.02,1.4,2700.0
Shaganappi Point Golf Course,Golf Course - Municipal,1200 26 ST SW,Municipal,Parks,Recreation,Parks,Shaganappi,CENTRE,1616.0,815.0,1.98,1.4,2700.0
